sigs.k8s.io/bom github.com/knqyf263/go-rpmdb@v0.1.1
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/glebarez/go-sqlite@v1.20.3
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/hashicorp/go-multierror@v1.1.1
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/stretchr/testify@v1.7.0
github.com/knqyf263/go-rpmdb@v0.1.1 golang.org/x/xerrors@v0.0.0-20200804184101-5ec99f83aff1
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/davecgh/go-spew@v1.1.0
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/dustin/go-humanize@v1.0.1
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/google/uuid@v1.3.0
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/hashicorp/errwrap@v1.0.0
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/mattn/go-isatty@v0.0.17
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/pmezard/go-difflib@v1.0.0
github.com/knqyf263/go-rpmdb@v0.1.1 github.com/remyoudompheng/bigfft@v0.0.0-20230126093431-47fa9a501578
github.com/knqyf263/go-rpmdb@v0.1.1 golang.org/x/sys@v0.4.0
github.com/knqyf263/go-rpmdb@v0.1.1 gopkg.in/yaml.v3@v3.0.0-20200313102051-9f266ea9e77c
github.com/knqyf263/go-rpmdb@v0.1.1 modernc.org/libc@v1.22.2
github.com/knqyf263/go-rpmdb@v0.1.1 modernc.org/mathutil@v1.5.0
github.com/knqyf263/go-rpmdb@v0.1.1 modernc.org/memory@v1.5.0
github.com/knqyf263/go-rpmdb@v0.1.1 modernc.org/sqlite@v1.20.3
